Abstract,Article Classification
"Caffeine is a natural compound found in plant seeds that after consumption by humans effects the central nervous system as well as the cardiovascular system. In general, the cytochrome P450 enzymes in the liver are involved in the biodegradation of caffeine, which gives paraxanthine, theobromine and theophylline products. There has been debate for many years why multiple products are obtained and how their distributions are determined. To this end we performed a high-level computational study using a combination of molecular dynamics and quantum mechanical approaches. A series of quantum chemical cluster models on the mechanism of caffeine activation by P450 model complexes give hydrogen atom abstraction barriers that predicts the correct ordering and statistical distribution of products. Our studies highlight that second-coordination sphere effects and thermochemical properties of the substrate determine the product distributions.",0
"This study aims to introduce compound glycyrrhizin injection for the treatment of rosacea by mesoderm therapy, and further analyze the therapeutic and aesthetic effects of this treatment method and its impact on the dermatological quality of life index, which provides new ideas and methods for cosmetic dermatology treatment of rosacea.",1
"Oriental river prawn Macrobrachium nipponense is an economically important aquaculture species in China, Japan, and Vietnam. In commercial prawn farming, feed cost constitutes about 50 to 65% of the actual variable cost. Improving feed conversion efficiency in prawn culture will not only increase economic benefit, but also save food and protect the environment. The common indicators used for feed conversion efficiency include feed conversion ratio (FCR), feed efficiency ratio (FER), and residual feed intake (RFI). Among these, RFI is much more suitable than FCR and FER during the genetic improvement of feed conversion efficiency for aquaculture species.",0
"The use of direct oral anticoagulants (DOAC) in patients with non-valvular atrial fibrillation (NVAF) and advanced chronic kidney disease (CKD) including dialysis is growing. Several studies have shown favorable results of DOAC compared with warfarin regarding bleeding risk but no difference in stroke protection. However, these studies had poor time in therapeutic range (TTR), in the warfarin comparison group.",1
"In this work, the Br functional group on the ligand UiO-66-Br was modified with a Bi-O bond through the secondary solvothermal method, and the synthesis method of visible light catalyst UB (UiO-66-BiOBr) with high electron mobility was explored. The findings indicate that the effective charge transfer of the functional group-modified material UB is 2.98 times and 1.22 times that of BiOBr and traditional UiO-66/BiOBr heterojunctions, respectively. Under simulated sunlight irradiation, the removal rate of tetracycline can reach 88.71%, and the photocatalytic performance is 22.73 times higher than that of UiO-66-Br. Moreover, it maintains good adsorption and photocatalytic performance under different laboratory and actual engineering water environment conditions. In the complex water environment of municipal wastewater, the degradation effect reaches more than 80%. Finally, the decomposition pathways of TC and ecotoxicities of the intermediates were analyzed via combining theoretical calculation, LC-MS/MS, and T.E.S.T.",0
"In more than 50 to 90% of type 2 diabetic patients, under the influence of various factors, the production of islet amyloid polypeptide or amylin in pancreatic beta cells increases. Spontaneous accumulation of amylin peptide in the form of insoluble amyloid fibrils and soluble oligomers is one of the main causes of beta cell death in diabetic patients. The objective of the present study was to evaluate the effect of pyrogallol, as a phenolic compound, on inhibiting the formation of amylin protein amyloid fibrils. In this study, different techniques such as the thioflavin T (ThT) and 1-Anilino-8-naphthalene sulfonate (ANS) fluorescence intensity and the circular dichroism (CD) spectrum, will be used to investigate the effects of this compound on inhibiting the formation of amyloid fibrils. To investigate the interaction sites of pyrogallol with amylin, docking studies were performed. Our results that pyrogallol in a dose-dependent manner (0.5:1, 1:1, and 5:1, Pyr to Amylin) inhibits the amylin amyloid fibrils formation. Docking analysis revealed that pyrogallol forms hydrogen bonds with valine 17 and asparagine 21. In addition, this compound forms 2 more hydrogen bonds with asparagine 22. This compound also forms hydrophobic bonds with histidine 18. Considering this data and the direct relationship between oxidative stress and the formation of amylin amyloid accumulations in diabetes, the use of compounds with both antioxidant and anti-amyloid properties can be considered an important therapeutic strategy for type 2 diabetes.",0
"Acute myocardial infarction (AMI) is a main cause of death all around the world. There is a close relationship between myocardial infarction (MI) and depression. MI patients with untreated depression had higher mortality than those without depression. Therefore, this study aimed to explore the effect of escitalopram in treating a model under MI and unpredictable chronic mild stress (UCMS).",1
"There is a debate over the use of aspirin after total knee arthroplasty (TKA) for venous thromboembolism (VTE) prophylaxis. To evaluate the clinical effectiveness and safety of aspirin after TKA, we performed a meta-analysis of randomized controlled trials (RCTs) that compared aspirin with low-molecular-weight-heparin (LMWH).",1
"Oils derived from non-traditional seeds, such as safflower, milk thistle, and black cumin seeds, have recently grown in popularity. Seed oil is in high demand due to consumer interest in illness prevention and health promotion through healthier diets that include a high concentration of monounsaturated and polyunsaturated fatty acids and antioxidant phenolic components. This study assessed the quality characteristics of cold-pressed seed oil at three unique storage times: at the beginning of the trial (i.e., before storage), after 2 months, and after 4 months. The results of the performed analyses indicate that the acidity of extracted black cumin, safflower, and milk thistle seed oil fluctuates considerably over time. The highest acidity level change was detected for black cumin seed oil, from 10.26% after the extraction to 16.96% after 4 months of storage at 4 °C. Consequently, changes between pre- and post-storage peroxide concentrations were discernible after four months. Peroxide value in milk thistle and safflower seed oils increased by 0.92 meq/kg and 2.00 meq/kg, respectively, during the assessed storage time, while that of black cumin was very high and fluctuated. The storage period substantially affects oxidative changes and the oxidation stability of the oil. Major changes were observed in the polyunsaturated fatty acids in seed oil during storage. The essential changes were detected in the black cumin seed oil odor profile after 4 storage months. Their quality and stability, as well as the nature of the changes that occur during the storage of oil, require extensive investigation.",0
"Chinese chestnut shell is a by-product of chestnut food processing and is rich in polyphenols. This study sought to investigate the effect of chestnut shell polyphenol extract (CSP) on weight loss and lipid reduction in a 12-week high-fat diet (HFD)-induced murine obesity model. CSP (300 mg per kg body weight) was administered intragastrically daily. AG490, a JAK2 protein tyrosine kinase inhibitor, was also intraperitoneally injected. The results showed that an HFD induced leptin resistance (LR). Compared to corresponding values in the HFD group, CSP treatment improved blood lipid levels, weight, and leptin levels in obese mice (<i>p</i> < 0.01). Additionally, CSP treatment enhanced enzyme activity by improving total antioxidant capacity, attenuating oxidative stress, and reducing fat droplet accumulation and inflammation in the liver, epididymal, and retroperitoneal adipose tissue. CSP also activated the LEPR-JAK2/STAT3-PTP1B-SOCS-3 signal transduction pathway in hypothalamus tissue and improved LR while regulating the expression of proteins related to lipid metabolism (PPARγ, FAS, and LPL) in white adipose tissue in the retroperitoneal cavity. However, the amelioration of lipid metabolism by CSP was dependent on JAK2. Molecular docking simulation further demonstrated the strong binding affinity of procyanidin C1 (-10.3983297 kcal mol<sup>-1</sup>) and procyanidin B1 (-9.12686729 kcal mol<sup>-1</sup>) to the crystal structure of JAK2. These results suggest that CSP may be used to reduce HFD-induced obesity with potential application as a functional food additive.",0
"Pharmaceuticals, which have been praised for protecting countless lives, have become a new category of environmental pollutants in recent decades as most of these pharmaceutical compounds are discovered in water bodies in concentrations ranging from ng/L to mg/L. Recently, metal-free g-C<sub>3</sub>N<sub>4</sub> (GCN)-based composites have received considerable attention for the degradation of pharmaceutical compounds. In this study, GCN/BiOCl composite was prepared using a simple ultrasonication-assisted stirring method and characterized using various analytical and spectroscopic techniques including XRD, FTIR, PL, Elemental mapping, UV-DRS, FESEM, HRTEM, and TGA. The as-prepared composite was utilized to degrade levofloxacin (LVX) under solar light irradiation and showed excellent stability for the degradation of LVX. Furthermore, the universality of the GCN/BiOCl composite was investigated by degrading diverse pharmaceuticals such as ofloxacin (OFX), norfloxacin (NOX), ciprofloxacin (COX), and ketorolac tromethamine (KTC) in an aqueous phase. Therefore, this work provides an effective method to degrade pharmaceutical contaminants simultaneously in water using GCN/BiOCl composite.",0
"In the U.S., intentional self-poisonings with analgesics that are available without a prescription increased from 2000 to 2018. Given concerns regarding mental health outcomes during the COVID-19 pandemic, we examined and compared trends in pediatric and adult intentional self-poisoning with acetaminophen, aspirin, ibuprofen, and naproxen from 2016 to 2021 using the National Poison Data System (NPDS) to see if these trends have continued. We extracted annual case counts of all suspected suicide attempts from intentional poisoning, and of suspected suicide attempts resulting in major effects or death, from the NPDS for non-prescription single ingredient adult formulation acetaminophen, non-prescription single ingredient adult formulation aspirin, single ingredient formulation ibuprofen, and single ingredient formulation naproxen. We enumerated the cases by year, age, and gender. Most cases of intentional self-poisoning within the review period involved acetaminophen and ibuprofen and the 13-19-year-olds constituted the highest proportion of intentional self-poisoning cases across age groups for all four analgesics. Cases involving females predominated cases involving males by 3:1 or greater. The 13-19-year-old age group also represented the largest proportion of cases that resulted in major clinical effects or deaths. An increasing trend in suicide poisoning cases with acetaminophen and ibuprofen was observed in the 6-19-years age group and this trend appeared to exacerbate from 2020 to 2021 corresponding with the start of the COVID-19 pandemic period.",1
"The iron reduction coupled with ammonia oxidation process (Feammox) is a biological reaction process associated with the nitrogen cycle that has been discovered in recent years. In this study, the iron-reducing bacterium Klebsiella sp. FC61 was attached by synthesizing nano-loadings of iron tetroxide (nFe<sub>3</sub>O<sub>4</sub>) onto rice husk biochar (RBC), and the RBC-nFe<sub>3</sub>O<sub>4</sub> was used as an electron shuttle to participate in the biological iron reduction process of soluble and insoluble Fe<sup>3+</sup> to improve the ammonia oxidation efficiency to 81.82%. This acceleration of electron transfer increased the carbon consumption rate and further tuned up the COD removal efficiency to 98.00%. The Feammox could be coupled with iron denitrification for internal nitrogen/iron cycling to reduce the accumulation of nitrate by-products and achieve the recycling of iron. In addition, pollutants such as Ni<sup>2+</sup>, ciprofloxacin, and formed chelates could be removed by pore adsorption and π-π interactions using bio-iron precipitates produced by iron-reducing bacteria.",0
"Increasing antimicrobial resistance in urinary tract infection is a major healthcare concern. In this study, we evaluate the patterns of resistance exhibited by the most implicated microorganisms in urine infections. This approach is a prerequisite for an appropriate and successful empiric therapy in ambulatory patients.",0
"Coverage of antenatal iron and folic acid (IFA) supplementation and malaria chemoprophylaxis remains low in many low-income and middle-income settings. We assessed the effectiveness of personal information (INFO) sessions and personal information session plus home deliveries (INFO+DELIV) to increase coverage of IFA supplementation and intermittent preventive treatment in pregnancy (IPTp), and their effectiveness on postpartum anaemia and malaria infection.",1
"The BNT162b2 (Pfizer-BioNTech) and mRNA-1273 (Moderna) vaccines have been approved for children and adolescents for protecting against SARS-CoV-2 infection. This longitudinal study aimed to compare adverse outcomes after SARS-CoV-2 vaccination in children with neurodevelopmental disorders (ND) (e.g., attention-deficit/hyperactivity disorder [ADHD], autism spectrum disorder [ASD], communication disorders, intellectual disability, and tic disorders) and healthy control children.",1
"The aim of this study is to compare the efficacy and safety of aspirin and low-molecular-weight heparin (LMWH) in preventing thromboembolic events in patients with fractures. The present meta-analysis was reported according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines. We searched EMBASE, PubMed, and EBSCO to find articles comparing aspirin and LMWH in patients with orthopedic trauma from inception to April 15, 2023. Limits were set to studies published in the English language only. Outcomes assessed in this meta-analysis included VTE and all-cause mortality. VTE can manifest as deep venous thrombosis (DVT) and pulmonary embolism. For safety analysis, rates of wound complication, infection, and bleeding complications were compared between the two study groups. A total of three studies were included in this meta-analysis enrolling 12884 patients. The study found no significant difference between the two groups in the risk of DVT and pulmonary embolism, and aspirin was non-inferior to LMWH for the prevention of all-cause mortality in patients. Additionally, no significant safety risk was associated with aspirin thromboprophylaxis. These findings suggest that inexpensive over-the-counter aspirin is as effective as LMWH in terms of safety and efficacy profile, making it a feasible option to consider in clinical practice.",1
"The delivery and accumulation of therapeutic drugs into cancer cells without affecting healthy cells are a major challenge for antitumor therapy. Here, we report the synthesis of a liposomal hybrid gold nano-assembly with enhanced photothermal activity for lung cancer treatment. The core components of the nano-assembly include gold nanorods coated with a mesoporous silica shell that offers an excellent drug-loading surface for encapsulation of doxorubicin. To enhance the photothermal capacity of nano-assembly, IR 780 dye was loaded inside a thermo-sensitive liposome, and then, the core nano-assembly was wrapped within the liposome, and GE-11 peptide and folic acid were conjugated onto the surface of the liposome to give the final nano-assembly [(GM@Dox) LI]-PF. The dual targeting approach of [(GM@Dox) LI]-PF leads to enhanced cellular uptake and improves the accumulation of nano-assemblies in cancer cells that overexpress the epidermal growth factor receptor and folate. The exposure of near-infrared laser irradiation can trigger photothermal-induced structural disruption of the nano-assembly, which allows for the precise and controllable release of Dox at targeted sites. Additionally, chemo-photothermal therapy was shown to be 11 times more effective in cancer cell treatment when compared to Dox alone. Our systematic study suggests that the nano-assemblies facilitate the cancer cells undergoing apoptosis via an intrinsic mitochondrial pathway that can be directly triggered by the chemo-photothermal treatment. This study offers an appealing candidate that holds great promise for synergistic cancer treatment.",0
"Solid-nanopores/nanopipettes have the exquisite ability to reveal the changes in molecular volume due to the advantages of adjustable size, good rigidity and low noise. Herein, a new platform for sensing application was established based on G-quadruplex-hemin DNAzyme (GQH) functionalized gold-coated nanopipettes. In this method, GQH was immobilized on gold-coated nanopipette, which could be used as a catalyst for the reaction of H<sub>2</sub>O<sub>2</sub> with 2,2'-azino-bis (3-ethylbenzothiazoline-6-sulfonic acid) diammonium salt (ABTS) to promote the conversion of ABTS to ABTS<sup>+</sup> ions inside gold-coated nanopipette, and the change of transmembrane ion current could be monitored in real time. At the optimal conditions, there was a correlation between the ion current and the concentration of H<sub>2</sub>O<sub>2</sub> in a certain range, which could be used for the hydrogen peroxide sensing. The GQH immobilized nanopipette provides a useful platform to investigate enzymatic catalysis in confined environment, which can be used in electrocatalysis, sensing and fundamental electrochemistry.",0
